movie_id	title	year	single_genre	rating	img_url
2905	Sanjuro (1962)	1962	Action	4.61	https://liangfgithub.github.io/MovieImages/2905.jpg?raw=true
2019	Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)	1954	Action	4.56	https://liangfgithub.github.io/MovieImages/2019.jpg?raw=true
858	Godfather, The (1972)	1972	Action	4.52	https://liangfgithub.github.io/MovieImages/858.jpg?raw=true
1198	Raiders of the Lost Ark (1981)	1981	Action	4.48	https://liangfgithub.github.io/MovieImages/1198.jpg?raw=true
260	Star Wars: Episode IV - A New Hope (1977)	1977	Action	4.45	https://liangfgithub.github.io/MovieImages/260.jpg?raw=true
1221	Godfather: Part II, The (1974)	1974	Action	4.36	https://liangfgithub.github.io/MovieImages/1221.jpg?raw=true
2028	Saving Private Ryan (1998)	1998	Action	4.34	https://liangfgithub.github.io/MovieImages/2028.jpg?raw=true
2571	Matrix, The (1999)	1999	Action	4.32	https://liangfgithub.github.io/MovieImages/2571.jpg?raw=true
1197	Princess Bride, The (1987)	1987	Action	4.3	https://liangfgithub.github.io/MovieImages/1197.jpg?raw=true
1233	Boat, The (Das Boot) (1981)	1981	Action	4.3	https://liangfgithub.github.io/MovieImages/1233.jpg?raw=true
3172	Ulysses (Ulisse) (1954)	1954	Adventure	5.0	https://liangfgithub.github.io/MovieImages/3172.jpg?raw=true
2905	Sanjuro (1962)	1962	Adventure	4.61	https://liangfgithub.github.io/MovieImages/2905.jpg?raw=true
1198	Raiders of the Lost Ark (1981)	1981	Adventure	4.48	https://liangfgithub.github.io/MovieImages/1198.jpg?raw=true
260	Star Wars: Episode IV - A New Hope (1977)	1977	Adventure	4.45	https://liangfgithub.github.io/MovieImages/260.jpg?raw=true
1204	Lawrence of Arabia (1962)	1962	Adventure	4.4	https://liangfgithub.github.io/MovieImages/1204.jpg?raw=true
1262	Great Escape, The (1963)	1963	Adventure	4.38	https://liangfgithub.github.io/MovieImages/1262.jpg?raw=true
3470	Dersu Uzala (1974)	1974	Adventure	4.33	https://liangfgithub.github.io/MovieImages/3470.jpg?raw=true
1197	Princess Bride, The (1987)	1987	Adventure	4.3	https://liangfgithub.github.io/MovieImages/1197.jpg?raw=true
1196	Star Wars: Episode V - The Empire Strikes Back (1980)	1980	Adventure	4.29	https://liangfgithub.github.io/MovieImages/1196.jpg?raw=true
1254	Treasure of the Sierra Madre, The (1948)	1948	Adventure	4.29	https://liangfgithub.github.io/MovieImages/1254.jpg?raw=true
745	Close Shave, A (1995)	1995	Animation	4.52	https://liangfgithub.github.io/MovieImages/745.jpg?raw=true
1148	Wrong Trousers, The (1993)	1993	Animation	4.51	https://liangfgithub.github.io/MovieImages/1148.jpg?raw=true
720	Wallace & Gromit: The Best of Aardman Animation (1996)	1996	Animation	4.43	https://liangfgithub.github.io/MovieImages/720.jpg?raw=true
1223	Grand Day Out, A (1992)	1992	Animation	4.36	https://liangfgithub.github.io/MovieImages/1223.jpg?raw=true
3429	Creature Comforts (1990)	1990	Animation	4.34	https://liangfgithub.github.io/MovieImages/3429.jpg?raw=true
3114	Toy Story 2 (1999)	1999	Animation	4.22	https://liangfgithub.github.io/MovieImages/3114.jpg?raw=true
3000	Princess Mononoke, The (Mononoke Hime) (1997)	1997	Animation	4.15	https://liangfgithub.github.io/MovieImages/3000.jpg?raw=true
1	Toy Story (1995)	1995	Animation	4.15	https://liangfgithub.github.io/MovieImages/1.jpg?raw=true
741	Ghost in the Shell (Kokaku kidotai) (1995)	1995	Animation	4.09	https://liangfgithub.github.io/MovieImages/741.jpg?raw=true
2761	Iron Giant, The (1999)	1999	Animation	4.05	https://liangfgithub.github.io/MovieImages/2761.jpg?raw=true
919	Wizard of Oz, The (1939)	1939	Children's	4.25	https://liangfgithub.github.io/MovieImages/919.jpg?raw=true
3114	Toy Story 2 (1999)	1999	Children's	4.22	https://liangfgithub.github.io/MovieImages/3114.jpg?raw=true
1	Toy Story (1995)	1995	Children's	4.15	https://liangfgithub.github.io/MovieImages/1.jpg?raw=true
2761	Iron Giant, The (1999)	1999	Children's	4.05	https://liangfgithub.github.io/MovieImages/2761.jpg?raw=true
1023	Winnie the Pooh and the Blustery Day (1968)	1968	Children's	3.99	https://liangfgithub.github.io/MovieImages/1023.jpg?raw=true
1097	E.T. the Extra-Terrestrial (1982)	1982	Children's	3.97	https://liangfgithub.github.io/MovieImages/1097.jpg?raw=true
1282	Fantasia (1940)	1940	Children's	3.9	https://liangfgithub.github.io/MovieImages/1282.jpg?raw=true
1028	Mary Poppins (1964)	1964	Children's	3.89	https://liangfgithub.github.io/MovieImages/1028.jpg?raw=true
34	Babe (1995)	1995	Children's	3.89	https://liangfgithub.github.io/MovieImages/34.jpg?raw=true
595	Beauty and the Beast (1991)	1991	Children's	3.89	https://liangfgithub.github.io/MovieImages/595.jpg?raw=true
1830	Follow the Bitch (1998)	1998	Comedy	5.0	https://liangfgithub.github.io/MovieImages/1830.jpg?raw=true
3607	One Little Indian (1973)	1973	Comedy	5.0	https://liangfgithub.github.io/MovieImages/3607.jpg?raw=true
3233	Smashing Time (1967)	1967	Comedy	5.0	https://liangfgithub.github.io/MovieImages/3233.jpg?raw=true
745	Close Shave, A (1995)	1995	Comedy	4.52	https://liangfgithub.github.io/MovieImages/745.jpg?raw=true
1148	Wrong Trousers, The (1993)	1993	Comedy	4.51	https://liangfgithub.github.io/MovieImages/1148.jpg?raw=true
3030	Yojimbo (1961)	1961	Comedy	4.4	https://liangfgithub.github.io/MovieImages/3030.jpg?raw=true
3307	City Lights (1931)	1931	Comedy	4.39	https://liangfgithub.github.io/MovieImages/3307.jpg?raw=true
3022	General, The (1927)	1927	Comedy	4.37	https://liangfgithub.github.io/MovieImages/3022.jpg?raw=true
1223	Grand Day Out, A (1992)	1992	Comedy	4.36	https://liangfgithub.github.io/MovieImages/1223.jpg?raw=true
3429	Creature Comforts (1990)	1990	Comedy	4.34	https://liangfgithub.github.io/MovieImages/3429.jpg?raw=true
3656	Lured (1947)	1947	Crime	5.0	https://liangfgithub.github.io/MovieImages/3656.jpg?raw=true
858	Godfather, The (1972)	1972	Crime	4.52	https://liangfgithub.github.io/MovieImages/858.jpg?raw=true
50	Usual Suspects, The (1995)	1995	Crime	4.52	https://liangfgithub.github.io/MovieImages/50.jpg?raw=true
3517	Bells, The (1926)	1926	Crime	4.5	https://liangfgithub.github.io/MovieImages/3517.jpg?raw=true
